Filtered_miRNA_Reads	Unique_miRNAs	groups
1767906	610	Stem
2894026	717	Stem
3805627	592	Stem
4058344	596	Stem
6667497	768	Stem
14459132	942	Stem
5707401	760	Stem
4935930	807	Stem
299770	353	Stem
390532	372	Stem
4785982	757	Stem
7613319	875	Stem
5245504	825	Stem
71053	319	Stem
913154	591	Stem
532036	523	Stem
765136	568	Stem
2579283	713	Stem
3305490	776	Stem
3539562	736	Stem
12800515	1151	Stem
6268502	1008	Stem
8975512	1044	Stem
6167956	1009	Stem
9965115	1075	Stem
8618470	1050	Stem
3138511	813	Stem
7131529	1027	Stem
18692723	1232	Stem
16852458	1169	Stem
10888506	638	Muscle
12860370	537	Muscle
11674375	620	Muscle
11339958	1197	Stem
11849214	1176	Stem
3325180	905	Stem
5786265	1066	Stem
12788464	1068	Stem
12605016	1079	Stem
977654	529	Endothelial
741854	532	Endothelial
524122	480	Endothelial
439422	377	Endothelial
197146	284	Endothelial
197306	294	Endothelial
317805	344	Endothelial
3587629	503	Endothelial
223790	301	Endothelial
222604	319	Endothelial
357079	380	Endothelial
3565131	508	Endothelial
364127	340	Endothelial
361464	339	Endothelial
591099	417	Endothelial
2724149	477	Endothelial
203564	303	Endothelial
204125	312	Endothelial
334459	383	Endothelial
5700126	610	Endothelial
1133258	517	Endothelial
2302488	612	Endothelial
3472680	694	Endothelial
1390866	553	Endothelial
1285824	557	Endothelial
1458567	531	Endothelial
1873058	516	Endothelial
853960	474	Endothelial
1189956	503	Endothelial
1362381	531	Endothelial
158933	309	Endothelial
1261310	520	Endothelial
711746	473	Endothelial
500661	427	Endothelial
800984	481	Endothelial
982841	486	Endothelial
1470640	565	Endothelial
720296	515	Endothelial
1001993	505	Endothelial
769209	486	Endothelial
342509	294	Endothelial
6427901	746	Endothelial
289868	225	Endothelial
2044326	559	Endothelial
3120521	629	Endothelial
1439919	508	Endothelial
23776366	759	Endothelial
315165	442	Endothelial
702767	514	Endothelial
575548	429	Endothelial
723810	490	Endothelial
511236	514	Endothelial
367002	444	Endothelial
1077008	487	Endothelial
2358214	568	Endothelial
1849987	588	Endothelial
7125837	756	Endothelial
7717945	765	Endothelial
7308894	742	Endothelial
7807779	779	Endothelial
7405901	758	Endothelial
9003905	764	Endothelial
6153507	760	Endothelial
8253925	777	Endothelial
9678675	752	Endothelial
4427404	674	Endothelial
4951723	717	Endothelial
4261723	622	Endothelial
2925670	586	Endothelial
4296547	660	Endothelial
2021278	604	Endothelial
3063303	654	Endothelial
2436557	622	Endothelial
5534522	703	Endothelial
4869316	701	Endothelial
5454673	678	Endothelial
4822688	691	Endothelial
6432491	715	Endothelial
595849	503	Endothelial
188526	376	Endothelial
546127	515	Endothelial
424346	490	Endothelial
531485	484	Endothelial
822393	520	Endothelial
253743	395	Endothelial
841587	533	Endothelial
294106	335	Endothelial
293075	352	Endothelial
436252	412	Endothelial
9542321	703	Endothelial
6216443	666	Endothelial
309330	341	Endothelial
308302	354	Endothelial
506365	408	Endothelial
7083280	658	Endothelial
7075449	681	Endothelial
152798	283	Endothelial
152784	298	Endothelial
247072	348	Endothelial
3213732	519	Endothelial
1935689	483	Endothelial
369327	355	Endothelial
375041	359	Endothelial
6712712	665	Immune
8097312	695	Immune
8028597	688	Immune
4393347	778	Immune
4022485	851	Immune
6029769	700	Platelet
3976890	662	Platelet
3832772	629	Platelet
2650172	592	Platelet
1428715	524	Platelet
3608888	673	Platelet
610733	421	Endothelial
3609255	580	Stem
7654514	657	Endothelial
3580439	556	Endothelial
4547936	697	Endothelial
4012887	643	Endothelial
3412441	648	Endothelial
4870597	670	Endothelial
3285686	643	Endothelial
4680862	674	Endothelial
3942204	559	Endothelial
6623036	635	Endothelial
2271177	507	Endothelial
14935096	517	RBC
14284568	497	RBC
28174244	622	RBC
8927293	329	RBC
18673191	565	RBC
1005657	486	Endothelial
3239447	567	Endothelial
5160892	640	Endothelial
6083705	666	Endothelial
3361689	538	Endothelial
128002	111	Endothelial
9240794	652	Endothelial
3022699	522	Endothelial
5959906	670	Endothelial
6789466	724	Immune
4869676	699	Immune
5828107	705	Immune
4409914	677	Immune
6883358	732	Immune
4683257	678	Immune
5742409	732	Immune
7628556	746	Immune
5319505	656	Immune
8429028	777	Immune
7606982	747	Immune
9073031	800	Immune
5717920	731	Immune
6801404	678	Immune
9185229	813	Immune
8508372	797	Immune
9774840	791	Immune
6004263	715	Immune
4956112	634	Endothelial
6932383	680	Endothelial
4370825	681	Endothelial
5449521	640	Endothelial
5849104	741	Endothelial
2810309	615	Endothelial
2027149	543	Endothelial
2159749	551	Endothelial
1909738	556	Endothelial
3012407	596	Endothelial
2182818	552	Endothelial
5724016	701	Endothelial
2158216	587	Endothelial
2487741	570	Endothelial
11258122	809	Endothelial
12320267	812	Endothelial
23299760	969	Endothelial
8290276	794	Endothelial
13370939	874	Endothelial
8698277	801	Endothelial
19963342	915	Endothelial
16895343	881	Endothelial
22231787	1082	Endothelial
31113981	1131	Endothelial
6564081	866	Endothelial
5898532	827	Endothelial
7494257	896	Endothelial
8108474	848	Endothelial
8194587	828	Endothelial
7668446	859	Endothelial
603787	440	Endothelial
1462530	416	Immune
1978295	364	Immune
982977	316	Immune
1026285	326	Immune
413555	437	Endothelial
468259	434	Endothelial
787486	492	Endothelial
8324873	812	Endothelial
6910601	831	Endothelial
14466096	914	Endothelial
14202700	877	Endothelial
13411573	867	Endothelial
15410411	869	Endothelial
13177773	901	Endothelial
13580069	785	Endothelial
12062382	719	Endothelial
1125486	467	Endothelial
853927	439	Endothelial
1279886	464	Endothelial
3348028	680	RBC
2938129	633	RBC
946222	508	RBC
1579612	573	RBC
1744300	576	RBC
2158421	626	RBC
1355715	575	RBC
1646516	595	RBC
704606	402	RBC
875619	404	RBC
769305	410	RBC
805378	430	RBC
3145965	648	RBC
2102360	585	RBC
2960839	562	RBC
1970901	519	RBC
2887209	670	RBC
1943338	629	RBC
3396225	680	RBC
2275850	616	RBC
3455899	694	RBC
2319643	625	RBC
2849876	744	Stem
2149803	721	Stem
2711405	766	Stem
5084596	768	Fibroblast
3576213	718	Fibroblast
3421110	732	Fibroblast
5406168	803	Fibroblast
3314080	794	Brain
3362831	765	Brain
3842091	786	Brain
3604563	760	Brain
2493391	730	Brain
2725181	784	Brain
3214991	782	Brain
3596163	802	Brain
3436816	758	Brain
5047192	833	Brain
5025930	801	Brain
5185969	827	Brain
4047849	659	RBC
2711976	607	RBC
3243153	560	RBC
3354649	548	RBC
2197826	503	RBC
2264002	489	RBC
2350497	471	RBC
2673141	515	RBC
2364430	530	RBC
2624603	542	RBC
2309704	494	RBC
2272546	478	RBC
3966929	589	RBC
2671705	525	RBC
1083279	388	RBC
1142950	390	RBC
3474201	519	RBC
2313173	470	RBC
4872338	604	RBC
3269605	563	RBC
3475214	572	RBC
2335551	513	RBC
2530910	507	RBC
1697948	466	RBC
4045458	501	RBC
2699965	465	RBC
605440	476	Epithelial
494553	466	Epithelial
772927	563	Epithelial
261445	425	Epithelial
211147	383	Epithelial
151655	353	Epithelial
572621	477	Epithelial
237009	406	Epithelial
2373469	550	Fibroblast
211355	353	Fibroblast
218806	336	Fibroblast
815661	447	Fibroblast
418377	404	Fibroblast
363599	422	Fibroblast
308763	439	Fibroblast
646980	477	Fibroblast
277094	386	Fibroblast
315664	386	Fibroblast
5381829	675	Fibroblast
5852255	659	Fibroblast
5804496	633	Fibroblast
5313834	617	Fibroblast
9834291	718	Fibroblast
1363359	465	Fibroblast
2546213	811	Fibroblast
3323578	870	Fibroblast
2913018	844	Fibroblast
5331474	764	Fibroblast
5855278	787	Fibroblast
5059601	748	Fibroblast
4874679	653	Fibroblast
6234852	693	Fibroblast
6090680	686	Fibroblast
4655332	685	Fibroblast
4335020	665	Fibroblast
4264375	682	Fibroblast
9653218	742	Fibroblast
3474342	671	Fibroblast
8349449	717	Fibroblast
8123825	717	Fibroblast
9602953	735	Fibroblast
9687748	717	Fibroblast
8267201	699	Fibroblast
7993811	736	Fibroblast
6585268	673	Fibroblast
10154314	782	Fibroblast
7477514	719	Fibroblast
7769306	772	Fibroblast
8062271	737	Fibroblast
9270734	746	Fibroblast
7574192	710	Fibroblast
675536	476	Fibroblast
68341	110	Fibroblast
23498234	812	Fibroblast
43639199	1049	Fibroblast
19013758	1005	Fibroblast
11239604	908	Fibroblast
3873035	711	Fibroblast
41525405	1067	Fibroblast
20800004	1051	Fibroblast
13471950	948	Fibroblast
4277450	740	Fibroblast
3013573	585	Fibroblast
2048932	585	Fibroblast
1995603	584	Fibroblast
842957	560	Fibroblast
2766374	549	Fibroblast
3936810	555	Fibroblast
6914330	666	Fibroblast
495521	433	Fibroblast
445448	400	Fibroblast
245470	360	Fibroblast
871113	447	Fibroblast
709966	467	Fibroblast
488173	423	Fibroblast
6577008	830	Fibroblast
7307372	824	Fibroblast
7774241	834	Fibroblast
782244	475	Fibroblast
144027	287	Fibroblast
1523637	525	Fibroblast
635659	459	Fibroblast
1059822	530	Fibroblast
720197	430	Fibroblast
501819	425	Fibroblast
440237	484	Fibroblast
563466	484	Fibroblast
79584	298	Fibroblast
227315	366	Fibroblast
650394	482	Fibroblast
441787	403	Fibroblast
810405	538	Fibroblast
423790	479	Fibroblast
339289	395	Epithelial
421037	445	Epithelial
8886408	1022	Stem
9269816	1031	Stem
417403	141	Immune
1359501	236	Immune
2312298	254	Immune
887486	247	Immune
1778382	365	Immune
3143473	290	Immune
2878875	436	Epithelial
3314796	495	Epithelial
4327559	597	Epithelial
8083032	582	Epithelial
1565468	496	Epithelial
8555797	582	Epithelial
7618296	725	Epithelial
6250950	714	Epithelial
8204397	794	Epithelial
3312427	492	Epithelial
4799134	621	Epithelial
4515779	522	Epithelial
7306616	775	Epithelial
8797786	776	Epithelial
2263599	531	Stem
2668457	532	Stem
2073731	500	Stem
1493395	459	Stem
3698144	547	Stem
2330812	519	Stem
170087	404	Stem
73000	339	Stem
438002	396	Stem
510757	415	Stem
582063	425	Stem
498871	413	Stem
434271	333	Stem
407079	392	Stem
2219281	654	Stem
1743308	626	Stem
1677020	555	Stem
1286949	631	Stem
8317196	1016	Stem
11405351	1218	Stem
10886235	942	Stem
1784379	721	Stem
3478148	843	Stem
5799522	926	Stem
886622	759	Stem
762124	561	Stem
1590466	738	Stem
6474132	918	Stem
1356766	682	Stem
1621451	661	Stem
4262749	810	Stem
1499384	712	Stem
3805899	771	Stem
2237539	760	Stem
1592646	671	Stem
1192148	578	Stem
5100734	821	Stem
2162570	787	Stem
3444544	923	Stem
2932942	819	Stem
3033507	828	Stem
1290273	796	Stem
2045577	895	Stem
1571020	706	Stem
2702987	816	Stem
1314783	713	Stem
1311048	730	Stem
1185090	722	Stem
1103031	714	Stem
1217033	725	Stem
1160816	724	Stem
938060	665	Stem
874770	664	Stem
961492	674	Stem
924277	661	Stem
1195823	720	Stem
1114390	722	Stem
1233230	722	Stem
1173347	721	Stem
1184840	729	Stem
1099815	688	Stem
1215232	705	Stem
1162955	717	Stem
1509154	743	Stem
1410327	735	Stem
1546395	745	Stem
1471675	733	Stem
1339775	704	Stem
1255233	692	Stem
1375735	703	Stem
1326524	698	Stem
1423535	711	Stem
1323010	687	Stem
1463726	719	Stem
1387225	694	Stem
1999135	786	Stem
1892517	760	Stem
2047635	796	Stem
1987685	766	Stem
10945863	1015	Stem
753522	566	Stem
1288919	678	Stem
2939286	761	Stem
6537042	825	Stem
816896	689	Stem
550534	576	Stem
1704795	796	Stem
710525	581	Stem
3480980	953	Stem
1466284	837	Stem
1425476	682	Stem
1870668	808	Stem
1372179	753	Stem
902918	633	Stem
1119311	682	Stem
681540	616	Stem
1388057	631	Stem
1319704	714	Stem
1109057	645	Stem
1353778	749	Stem
1431717	628	Stem
795899	598	Stem
1711965	823	Stem
1162741	748	Stem
2358001	760	Stem
951160	691	Stem
2591891	850	Stem
1117811	704	Stem
2587983	822	Stem
3181862	906	Stem
6314366	924	Stem
3758527	867	Stem
3462392	880	Stem
1339640	770	Stem
541007	564	Stem
2985398	776	Stem
1673384	741	Stem
2824059	802	Stem
534816	565	Stem
1624835	652	Stem
2202130	775	Stem
782558	606	Stem
4124519	873	Stem
3255568	856	Stem
1001811	727	Stem
1096944	756	Stem
3359269	775	Stem
7161425	869	Stem
18111125	1155	Stem
7791055	1004	Stem
9326985	1105	Stem
1635392	684	Stem
1838084	743	Stem
7967468	945	Stem
2488623	760	Stem
2815974	788	Stem
1090492	672	Stem
1057931	673	Stem
1217352	713	Stem
938636	656	Stem
1289195	754	Stem
2164267	817	Stem
1381793	799	Stem
1191161	771	Stem
414332	584	Stem
749054	641	Stem
718206	632	Stem
559958	610	Stem
526397	607	Stem
914463	625	Stem
585645	648	Stem
1888749	751	Stem
590495	416	Epithelial
264845	373	Epithelial
1146427	612	Epithelial
859853	541	Epithelial
587549	496	Epithelial
408760	425	Epithelial
11564351	924	Epithelial
11205711	951	Epithelial
11120475	915	Epithelial
11863005	880	Epithelial
11877288	933	Epithelial
12039531	887	Epithelial
322614	335	Epithelial
311400	391	Epithelial
456985	387	Epithelial
1236560	574	Epithelial
572763	435	Epithelial
